Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Elektryk"; "Radomsko, łódzkie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SPÓŁKA Z O. O."; "2025-02-06"; 
"Elektryk"; "Pińczów, świętokrzyskie"; "Umowa o pracę na okres próbny"; "GOMAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Elektryk"; "Lebiedzie, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "KNYCHTECH Przemysław Knych"; "2025-02-05"; 
"Elektryk"; "Ruda Śląska, śląskie"; "Umowa o pracę na czas określony"; "PW ELPAS Damian Ślusarek"; "2025-02-07"; 
"Elektryk"; "Błażejewo, wielkopolskie"; "Umowa o pracę na okres próbny"; "PPHU SPEC Remigiusz Nowacki"; "2025-02-07"; 
"Elektryk"; "44809 Bochum, Niemcy"; "Umowa o pracę na czas nieokreślony"; "Pertec GmbH "; "2025-02-07"; 
"Elektryk"; "Sławno, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "Usługowy Zakład Instalacji Elektrycznych Marek Miszczak"; "2025-02-07"; 
"ELEKTRYK"; "Łężec, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "Inżynieria Wodna Ziołkiewicz Sp. z o.o."; "2024-09-03"; 
"ELEKTRYK"; "Kotlarnia, opolskie"; "Umowa o pracę na czas nieokreślony"; "KOPALNIA PIASKU ""KOTLARNIA"" SPÓŁKA AKCYJNA"; "2025-01-09"; 
"ELEKTRYK"; "Ząbkowice Śląskie, dolnośląskie"; "Umowa o pracę na okres próbny"; "proLAB PAULA BARYLAK"; "2025-01-09"; 
"ELEKTRYK"; "Olszowa, wielkopolskie"; "Umowa o pracę na okres próbny"; "HENKLIM CHŁODNICTWO KLIMATYZACJA HENRYK SZYCH"; "2025-01-14"; 
"ELEKTRYK"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "FABRYKA ZIELENI SPÓŁKA AKCYJNA"; "2025-01-17"; 
"ELEKTRYK"; "Strzelce Opolskie, opolskie"; "Umowa o pracę na czas określony"; "KRONOSPAN KO SP. Z O.O."; "2025-01-17"; 
"ELEKTRYK"; "Nowe Miasto Lubawskie, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "MAZURSKIE MEBLE ""SZYNAKA-INTERLINE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-24"; 
"ELEKTRYK"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas określony"; "URZĄD MORSKI W SZCZECINIE"; "2025-01-27"; 
"ELEKTRYK"; "Świnoujście, zachodniopomorskie"; "Umowa o pracę na czas określony"; "URZĄD MORSKI W SZCZECINIE"; "2025-01-27"; 
"ELEKTRYK"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "URZĄD MORSKI W SZCZECINIE"; "2025-01-27"; 
"ELEKTRYK"; "Zawadzkie, opolskie"; "Umowa o pracę na czas nieokreślony"; "Track Tec Koltram sp,. zo.o."; "2025-02-04"; 
"ELEKTRYK"; "Konin, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA W KOLE"; "2025-02-05"; 
"ELEKTRYK"; "Dębica, podkarpackie"; "Umowa o pracę na czas określony"; """CD LOCUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA JAWNA"; "2025-02-06"; 
"Elektryk (nr 0302)  "; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO DROBIARSKIE ""DROBEX"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"Elektryk "; "Rybnik, śląskie"; "Umowa o pracę na okres próbny"; """PUMART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Elektryk - ""złota rączka"""; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "F.H.U. OLIMAR Janusz Raczek"; "2025-02-07"; 
"Elektryk - automatyk"; "Ciasna, śląskie"; "Umowa o pracę na czas nieokreślony"; """EJOT POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"""; "2025-01-23"; 
"Elektryk - Brygadzista"; "Jaworzno, śląskie"; "Umowa o pracę na okres próbny"; "Lumier Agnieszka Stósik-Góralczyk"; "2025-01-30"; 
"Elektryk - dop.st.pr. (2)"; "Psary Polskie, wielkopolskie"; "Umowa o pracę na czas określony"; "PUH Bis Energetyk"; "2025-01-16"; 
"elektryk - elektromonter"; "Mysłowice, śląskie"; "Umowa o pracę na czas określony"; "DlTech Sp. z o.o."; "2024-11-27"; 
"Elektryk - instalator"; "Będzin, śląskie"; "Umowa o pracę na okres próbny"; "MAŃKA WOJCIECH GŁOŚNIKI SYSTEMY NAGŁOŚNIEŃ AKUSTYKA"; "2025-01-20"; 
"Elektryk - Konserwator"; "Katowice, śląskie"; "Umowa o pracę na czas określony"; "MIEJSKI OŚRODEK SPORTU I REKREACJI"; "2025-01-08"; 
"Elektryk - monter rozdzielnic"; "Krosno, podkarpackie"; "Umowa o pracę na czas określony"; "CERBEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"elektryk - pomocnik elektryka"; "Goczałkowice-Zdrój, śląskie"; "Umowa o pracę na czas określony"; "WRONA JACEK INSTALATORSTWO ELEKTRYCZNE WRONA"; "2025-01-31"; 
"Elektryk - pracownik biurowy"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "ELECTROJAC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
"Elektryk - Serwisant"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Elektro - Styl Piotr Skalski"; "2025-01-14"; 
"Elektryk - specjalność pomiary elektryczne"; "Tczew, pomorskie"; "Umowa o pracę na czas określony"; "SZYMON HEBEL I MACIEJ HEGELE ""HMS"" SPÓŁKA CYWILNA"; "2025-01-21"; 
"Elektryk (dział utrzymania ruchu)"; "Siemianowice Śląskie, śląskie"; "Umowa o pracę na okres próbny"; """AMS METAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"Elektryk (maszyn i urządzeń produkcyjnych)"; "Rawa Mazowiecka, łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Vertograd Juice Sp. Z o.o"; "2025-01-28"; 
"Elektryk (serwisant) - praca na terenie całej Polski K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; """ENERGO - SECURITY SERWIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Elektryk / Elektromonter"; "Düsseldorf, Niemcy"; "Umowa o pracę na czas określony"; "Euro-Inwest Projekt Grzegorz Engler, Tomasz Lach Spółka Jawna"; "2025-01-27"; 
"Elektryk / Elektromonter"; "Jaworzno, śląskie"; "Umowa o pracę na okres próbny"; "ELTEC GLOBAL ELECTRIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"ELEKTRYK / ELEKTROMONTER "; "Piekary Śląskie, śląskie"; "Umowa o pracę na okres próbny"; "EDR SYSTEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-09-24"; 
"Elektryk automatyk"; "Tomaszów Mazowiecki, łódzkie"; "Umowa o pracę na czas określony"; "GLOBAL QUANTUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"elektryk budowlany"; "Zabrze, śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-23"; 
"Elektryk budowlany"; "Józefów, lubelskie"; "Umowa o pracę na okres próbny"; "ZINTECH Krzysztof Zaśko"; "2024-12-02"; 
"Elektryk budowlany"; "Gorzyce, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-09"; 
"Elektryk budowlany"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; "WOLIMPEX PBPUH WŁADYSŁAW WOLAK"; "2025-01-16"; 
"Elektryk budowlany"; "Bielefeld, Niemcy"; "Umowa zlecenie / Umowa o świadczenie usług"; "EUROKOMFORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-22"; 
"Elektryk budowlany (do przyuczenia)"; "Strzałkowo, wielkopolskie"; "Umowa o pracę na czas określony"; "RMG MODERNO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-11-29"; 
"Elektryk budowlany/pomocnik elektryka"; "Wojkowice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "FILIP DYSZY AMPERIO"; "2025-01-30"; 
"Elektryk K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "CENTRALNE BIURO ANTYKORUPCYJNE"; "2025-01-24"; 
"Elektryk K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; "Centrum Informatyki Statystycznej"; "2025-01-29"; 
"Elektryk Okrętowy"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INZON ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"ELEKTRYK POJAZDÓW SAMOCHODOWYCH"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "GTVBUS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-11-19"; 
"Elektryk Projektant/ Młodszy Projektant"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "ELECTROJAC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-03"; 
"Elektryk R109/2813-1504/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FIRMA USŁUGOWO-HANDLOWA KOMA KRZYSZTOF MARCINIAK"; "2024-11-28"; 
"Elektryk R123/0257-123/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. BŁOGOSŁAWIONEGO KSIĘDZA JERZEGO POPIEŁUSZKI WE WŁOCŁAWKU"; "2025-01-31"; 
"Elektryk R43/0055-43/25"; "Kowal, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-01-13"; 
"Elektryk R61/0075-61/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO WIELOBRANŻOWO-USŁUGOWO-PRODUKCYJNE ""PRZEMBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"elektryk samochodowy"; "Lębork, pomorskie"; "Umowa o pracę na okres próbny"; "BESTLOG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-01-22"; 
"Elektryk samochodowy"; "Świerklaniec, śląskie"; "Umowa o pracę na okres próbny"; "BENEDYKT NOWAK NOWAK TRANSPORT"; "2024-11-06"; 
"Elektryk samochodowy"; "Witowo, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Handlowo-Usługowe ""NAFTEX"" Spółka Jawna Jan Adamski Jadwiga Adamska"; "2025-01-21"; 
"Elektryk samochodowy"; "Krosno, podkarpackie"; "Umowa o pracę na czas określony"; "Komenda Wojewódzka Policji w Rzeszowie"; "2025-01-24"; 
"Elektryk samochodowy"; "Maks, pomorskie"; "Umowa o pracę na okres próbny"; "MIELEWCZYK SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Elektryk samochodowy"; "Siedlce, mazowieckie"; "Umowa o pracę na okres próbny"; "PUK SERWIS - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"ELEKTRYK SAMOCHODOWY"; "Krzemieniewo, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "SERWIS LESZEK MALINOWSKI"; "2025-01-09"; 
"ELEKTRYK SAMOCHODOWY"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "FABRYKA ZIELENI SPÓŁKA AKCYJNA"; "2025-01-17"; 
"Elektryk SEP"; "Sanok, podkarpackie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; "2025-01-21"; 
"Elektryk serwisant"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "Konrem Zakład Konserwacji i Remontów Urządzeń Dźwignicowych"; "2025-02-03"; 
"Elektryk systemów niskoprądowych"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO USŁUGOWE ""POŻ-PLISZKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-08"; 
"elektryk utrzymania ruchu"; "Milicz, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "MHM WP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-09"; 
"elektryk utrzymania ruchu"; "Bytyń, wielkopolskie"; "Umowa o pracę na okres próbny"; "AJU POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"elektryk utrzymania ruchu"; "Rzeczyca Ziemiańska, lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; "2025-02-03"; 
"Elektryk utrzymania ruchu"; "Bochnia, małopolskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD PRODUKCJI DOŚWIADCZALNEJ CEBEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-04"; 
"Elektryk utrzymania ruchu"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "ATLANTA POLAND SPÓŁKA AKCYJNA"; "2025-01-22"; 
"Elektryk utrzymania ruchu"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "STP ELBUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Elektryk Utrzymania Ruchu  (nr 0266)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; """PASAMON"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"Elektryk w dziale technicznym"; "Opole, opolskie"; "Umowa o pracę na okres próbny"; "SZPITAL WOJEWÓDZKI W OPOLU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"elektryk w dziale utrzymania ruchu"; "Zawiercie, śląskie"; "Umowa o pracę na okres próbny"; """ALURON"" K. BARAN I WSPÓLNICY SPÓŁKA KOMANDYTOWO-AKCYJNA"; "2025-01-03"; 
"Elektryk- automatyk"; "Nowy Dwór Gdański, pomorskie"; "Umowa o pracę na okres próbny"; """SZOP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"elektryk-automatyk"; "Tomaszów Mazowiecki, łódzkie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO INNOWACYJNO-WDROŻENIOWE ""GLASS-PRODUKT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Elektryk-automatyk"; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na okres próbny"; "WODKAN PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA AKCYJNA"; "2025-01-02"; 
"Elektryk-automatyk"; "Nowiny, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; """BIKO-SERWIS"" Sp. z o.o. Spółka Komandytowa"; "2025-01-30"; 
"Elektryk-automatyk"; "Mława, mazowieckie"; "Umowa o pracę na okres próbny"; "FAST-FOL GADOMSCY SPÓŁKA JAWNA"; "2025-01-31"; 
"Elektryk-automatyk"; "Sandomierz, świętokrzyskie"; "Umowa o pracę na okres próbny"; "Paweł Zygadło ""PPHU - Zyko"""; "2025-02-05"; 
"Elektryk-automatyk R70/2938-1590/24"; "Siutkówek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "EKORYNIEC S.C. MARZENA DARIUSZ RYNIEC"; "2024-12-30"; 
"Elektryk-elektromechanik - Grabowo"; "Grabowo, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Eneris GRABPLAST Sp. z o.o."; "2025-01-07"; 
"Elektryk-elektromonter"; "Mrągowo, warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; """ROTISOL - EST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-02"; 
"Elektryk-instalator"; "Jaworzno, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INSTALGP Jadwiga Skurzyńska"; "2025-01-14"; 
"Elektryk-monter R68/2936-1588/24"; "Siutkówek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "EKORYNIEC S.C. MARZENA DARIUSZ RYNIEC"; "2024-12-30"; 
"Elektryk-robotnik budowlany"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "Spółdzielnia Mieszkaniowa ""CHEŁM"""; "2025-02-05"; 
"elektryk, elektromonter"; "Krotoszyn, wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWO-PRODUKCYJNE ELEKTROMAX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Elektryk, mechanik maszyn i urządzeń"; "Suwałki, podlaskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO GOSPODARKI ODPADAMI W SUWAŁKACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-10-25"; 
"elektryk, serwisant"; "Jastrowie, wielkopolskie"; "Umowa o pracę na czas określony"; "Paltech Sp. z o.o."; "2025-01-23"; 
"ELEKTRYK/ ELEKTOROMONTER INSTALACJI ELEKTRYCZNYCH/POMOCNIK/ELEKTROMONER LINI KABLOWYCH/ELEKTROMONTER ROZDZIELNI I PODSTACJI TRAKCYJNYCH  "; "Gdynia, pomorskie"; "Umowa o pracę na okres próbny"; "COLDEN Paweł Kwiatkowski"; "2025-02-04"; 
"Elektryk/ elektromechanik samochodowy (O)"; "Tarnów, małopolskie"; "Umowa o pracę na okres próbny"; "EXPERT Roczniak Paweł"; "2025-01-09"; 
"Elektryk/ Elektromonter"; "Gdynia, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "DOK-STER LP ODDZIAŁ W POLSCE"; "2025-01-15"; 
"Elektryk/ Elektromonter"; "Rokitnica, pomorskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""MIZAN"" SŁAWOMIR OSSOWSKI"; "2025-02-04"; 
"Elektryk/ pomocnik elektromontera"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "ENERGETYK Przedsiębiorstwo Inżynierskie Jerzy Łyszkiewicz"; "2025-01-22"; 
"Elektryk/ ślusarz"; "Chorzów, śląskie"; "Umowa o pracę na okres próbny"; "ALCHEMIA S.A. Oddział Stalownia Batory w Chorzowie"; "2025-01-20"; 
"Elektryk/automatyk"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "MM Szynaka Living Sp. z o.o."; "2025-01-14"; 
"Elektryk/automatyk"; "Płoszów, łódzkie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SPÓŁKA Z O. O."; "2025-02-06"; 
"Elektryk/Automatyk"; "Tomaszów Lubelski, lubelskie"; "Umowa o pracę na czas nieokreślony"; "SVZ Tomaszów sp.z o.o"; "2025-01-28"; 
"Elektryk/Automatyk do utrzymania ruchu maszyn produkcyjnych"; "Kościuszków, wielkopolskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE AWEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-23"; 
"Elektryk/elektromechanik"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "AMELO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-21"; 
"Elektryk/elektromechanik"; "Białystok, podlaskie"; "Umowa o pracę na czas określony"; "SPÓŁDZIELNIA SNB W BIAŁYMSTOKU"; "2025-02-06"; 
"Elektryk/Elektromechanik"; "Kętrzyn, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "MST Sp. z o. o. Sp. k."; "2025-01-30"; 
"Elektryk/elektromonter"; "Bochnia, małopolskie"; "Umowa o pracę na okres próbny"; "PPUH COLD s.j. Bogdan i Włodzimierz Chwastek"; "2025-01-21"; 
"Elektryk/elektromonter"; "Skorzewo, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ELEKTRO-ENDRJU ANDRZEJ WYSZOMIERSKI"; "2025-02-05"; 
"Elektryk/Elektromonter"; "Żydowo, wielkopolskie"; "Umowa o pracę na okres próbny"; "Sławomir Zakrzewski Usługi Elektryczno Techniczne"; "2024-12-17"; 
"Elektryk/Elektromonter"; "Ruda Śląska, śląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Usługowe BUDOMONT-7 Sp. z o. o."; "2025-01-13"; 
"Elektryk/Elektromonter"; "Ruda Śląska, śląskie"; "Umowa o pracę na okres próbny"; "ELEKTROSALON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"ELEKTRYK/ELEKTROMONTER"; "Dębica, podkarpackie"; "Umowa o pracę na okres próbny"; "Instalacje Elektryczne ""PROTON"" Dawid Knych"; "2025-01-20"; 
"Elektryk/Elektromonter (Niemcy)"; "Berlin, Niemcy"; "Umowa zlecenie / Umowa o świadczenie usług"; "COPCO PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Elektryk/Elektromonter/Elektronik"; "Bytom, śląskie"; "Umowa o pracę na okres próbny"; "HardCom Sp. z o. o."; "2025-01-08"; 
"Elektryk/elektronik"; "Zawiercie, śląskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD GOSPODARKI KOMUNALNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"Elektryk/Elektronik (do urządzeń specjalistycznych)"; "Przejazdowo, pomorskie"; "Umowa o pracę na okres próbny"; """TECH-BUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Elektryk/montażysta"; "Lublin, lubelskie"; "Umowa o pracę na okres próbny"; "NETTER MYRCHA SPÓŁKA KOMANDYTOWO - AKCYJNA"; "2025-01-28"; 
"Elektryk/monter instalacji elektrycznych "; "Nowy Sącz, małopolskie"; "Umowa o pracę na okres próbny"; "ERBET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-30"; 
"Elektryk/pomocnik elektryka"; "Kleszczewo, wielkopolskie"; "Umowa o pracę na okres próbny"; "Bartosz Zakrzewski BARTEL"; "2025-01-22"; 
"Elektryk/pomocnik elektryka"; "Wodzisław Śląski, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "MAJEK Mariusz USŁUGI ELEKTRYCZNE"; "2025-02-03"; 
"Elektryk/Pomocnik elektryka"; "Jasna Góra, łódzkie"; "Umowa o pracę na czas nieokreślony"; "ELEKTRO-KOMPLEKS ŁUKASZ GRAJOSZEK"; "2025-01-22"; 
"Elektryk/Pomocnik elektryka/Teletechnik/Elektromonter "; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "UNIELECTRO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"Elektryk/serwisant"; "Będzin, śląskie"; "Umowa o pracę na okres próbny"; "EURO SLET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-13"; 
"Elektryk/ślusarz "; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BEST SOLUTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"english teacher"; "Zator, małopolskie"; "Umowa o pracę na czas określony"; """EDU-CENTRE DOLINA KARPIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-08"; 
"f-Asystent kas samoobsługowych z orzeczoną niepełnosprawnością"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-11-19"; 
"f-Dekarz"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "Chojnowski Zakład Gospodarki Komunalnej i Mieszkaniowej"; "2024-11-27"; 
"f-Elektromonter "; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "Chojnowski Zakład Gospodarki Komunalnej i Mieszkaniowej"; "2024-11-27"; 
"f-Fryzjer damsko/męski"; "Chojnów, dolnośląskie"; "Umowa o pracę na okres próbny"; """ FRYZJERSTWO "" WIERZBICKA LEONTYNA"; "2024-06-20"; 
"f-Kasjer - sprzedawca"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-10-29"; 
"f-Kierowca mechanik"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "Chojnowski Zakład Gospodarki Komunalnej i Mieszkaniowej"; "2024-11-27"; 
"f-Kosmetolog"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-07"; 
"f-Monter urządzeń i instalacji wodnych i kanalizacyjnych, gazowych"; "Chojnów, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Chojnowski Zakład Gospodarki Komunalnej i Mieszkaniowej"; "2024-11-27"; 
"f-Pracownik ogólnobudowlany "; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "Chojnowski Zakład Gospodarki Komunalnej i Mieszkaniowej"; "2024-11-27"; 
"f-Referent ds. kadr"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-09-23"; 
"f-spawacz-ślusarz"; "Gołaczów, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "SPAWIK BAUSERVICE DANIEL ZATWARNICKI"; "2025-01-21"; 
"f-stolarz-cieśla"; "Chojnów, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Chojnowski Zakład Gospodarki Komunalnej i Mieszkaniowej"; "2024-11-27"; 
"f-Wulkanizator"; "Chojnów, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "PHU ""OLA"" RAGAN ZDZISŁAW"; "2024-11-27"; 
